id_demanda,Z,t_min
613107,3480,146.95833333333334
222308,4525,128.795
618187,3683,138.47333333333333
617473,3918,140.70333333333335
129263,2992,144.61666666666667
617978,3409,143.315
123780,2933,152.48999999999998
662727,3106,147.45833333333334
615888,3315,138.43333333333334
211866,3740,127.66499999999999
131456,3279,143.82000000000002
686007,3933,153.0883333333333
686010,4386,120.64666666666668
662729,3150,141.53
662721,3264,138.24333333333334
674270,3007,145.44666666666666
622659,2988,148.11833333333334
613959,3398,139.5366666666667
674271,3527,154.36833333333334
669159,4090,140.70333333333335
228608,3514,151.48166666666665
125048,3353,152.05166666666668
625614,3352,150.11666666666667
519594,3470,115.49166666666666
232141,4111,213.515
239403,4342,243.76833333333335
213792,4314,212.56333333333333
545572,4123,216.75166666666667
232944,4349,259.92333333333335
662733,4375,230.11499999999998
233020,3933,172.98999999999998
662790,4052,166.71666666666667
214089,4241,162.84
132293,4336,212.52666666666667
686013,4203,180.08666666666667
229499,4153,162.45333333333335
662757,3938,176.53833333333333
217606,4181,142.01166666666668
686023,3396,112.10833333333333
215384,4031,260.12333333333333
662736,3826,121.46166666666666
692168,4451,160.715
686027,3602,118.75833333333334
243948,4337,190.33166666666665
686040,3954,164.715
245681,4052,134.63333333333333
662766,4256,144.265
213552,4480,224.01166666666668
674272,4148,167.83333333333334
676652,4164,236.14166666666668
241788,4133,184.47333333333333
675437,3685,120.67
686022,3173,107.33833333333334
662763,4283,164.97666666666666
250524,3933,173.73333333333332
310204,4504,209.66
686018,3896,142.52
662775,3453,117.20666666666666
210348,3989,145.06333333333333
236553,4223,201.77
310153,4123,167.83333333333334
222191,4007,151.42999999999998
674276,4437,157.63500000000002
224534,4160,266.0516666666667
230000,4322,252.12
220321,4042,164.97666666666666
663096,4061,235.675
223086,4010,139.01833333333335
662792,4189,166.71666666666667
662777,3925,132.87666666666667
218956,4204,181.35666666666665
686020,3420,119.76833333333335
518537,4390,210.20833333333334
662787,3945,181.35666666666665
662764,4287,162.25166666666667
662753,4066,175.13
236907,4498,190.74166666666667
663097,4087,239.86
677799,4080,265.8283333333333
227598,3996,168.12333333333333
241856,3984,131.15333333333334
115183,3588,142.70333333333335
224075,4226,160.69500000000002
547086,3399,115.56
662758,3921,173.68833333333333
662785,4133,226.34
662760,4078,176.47166666666666
243225,4134,137.73999999999998
674275,4269,165.35166666666666
211815,3815,98.985
125657,4388,210.82333333333332
662769,4245,145.19666666666666
228214,4366,166.32166666666666
662772,3496,116.70666666666666
238071,4062,260.12333333333333
226728,3951,186.685
240861,4007,169.10333333333335
526676,3991,174.265
674281,3560,118.14333333333335
232807,4241,209.97
686032,3886,159.93333333333334
662791,4043,167.78333333333333
662782,4009,159.02833333333334
674639,4005,74.955
121256,3976,77.58833333333334
517990,3517,86.34833333333333
674644,4045,74.955
674642,3362,84.87833333333333
524288,3431,98.26
662830,3202,84.28666666666666
662808,3787,110.74166666666666
662834,3785,136.55833333333334
674648,3309,85.33833333333334
521585,3173,86.24333333333334
626907,3455,85.33833333333334
233066,3158,90.44166666666666
111251,3423,147.98166666666665
132042,3143,90.89833333333333
662822,3444,81.91833333333334
662804,3861,120.00333333333333
662835,3930,132.735
662821,3925,79.105
662799,3808,120.00333333333333
131662,4052,70.81
656651,3630,108.16166666666666
539166,3309,83.57666666666667
662549,2983,98.57166666666667
662796,3043,107.22
677119,3990,104.98666666666666
523966,3727,104.72
212090,3809,110.76
656652,3530,113.79333333333334
120857,3704,78.045
550147,3104,87.14833333333333
113762,3593,85.33833333333334
662831,3771,83.805
124289,3101,96.00333333333333
242816,4226,64.18666666666667
550134,3256,106.115
662817,3079,87.54166666666667
123324,3228,84.75333333333333
621507,4007,103.99333333333334
678869,4140,147.515
232209,4166,138.84
686056,4044,106.68333333333334
610374,4186,93.325
662843,4061,103.38000000000001
210714,4196,90.68666666666667
679258,3926,147.41833333333335
232468,4159,144.61833333333334
686053,3881,147.515
656713,4387,92.94666666666667
123701,3635,137.91333333333333
686064,4040,100.56666666666666
242340,3974,60.626666666666665
513857,4008,103.99333333333334
114017,3554,119.02166666666668
218173,4212,95.64166666666667
540918,4187,101.48666666666666
675159,3958,147.48333333333332
213548,4194,138.84
240873,4206,96.21833333333333
123374,4325,92.81
661886,3921,147.515
219446,4093,147.515
229640,3861,134.43166666666667
656719,3999,98.53
522847,4365,93.71499999999999
235437,4159,62.519999999999996
625056,4144,95.205
678870,4336,147.515
686049,4061,58.36666666666667
218232,4265,101.48666666666666
533751,4184,60.61833333333333
229577,3664,147.515
518334,4239,147.515
238839,4165,62.730000000000004
678877,3754,147.515
221552,4271,147.515
539702,4187,89.60166666666667
662847,4201,89.17166666666667
686054,3996,107.57333333333332
662850,4072,85.91000000000001
662838,4323,147.515
231403,4075,68.52666666666667
686057,3984,104.83166666666666
